ts_datenstand,ts_download,bundesland,bundesland_iso,impfungen_kumulativ,differenz_zum_vortag,impfungen_pro_1_000_einwohner,indikation_nach_alter,berufliche_indikation,medizinische_indikation,pflegeheim_bewohner_in,notes,rs
2021-01-06T10:00:00Z,2021-01-06T11:25:55Z,Berlin,BE,21955,2566,5.983118639615141,13487,7648,105,14247,NA,NA
2021-01-06T10:00:00Z,2021-01-06T11:25:55Z,Brandenburg,BB,5404,2070,2.1428347673751422,287,5097,20,224,NA,NA
2021-01-06T10:00:00Z,2021-01-06T11:25:55Z,Bremen,HB,3195,518,4.690238725077142,982,1062,29,892,NA,NA
2021-01-06T10:00:00Z,2021-01-06T11:25:55Z,Hamburg,HH,5901,1145,3.1944730905836938,1996,3495,44,2122,NA,NA
2021-01-06T10:00:00Z,2021-01-06T11:25:55Z,Hessen,HE,41298,3503,6.567664533530108,11393,23963,1657,15925,NA,NA
2021-01-06T10:00:00Z,2021-01-06T11:25:55Z,Mecklenburg-Vorpommern,MV,18014,2570,11.201774972048419,456,10024,27,7828,NA,NA
2021-01-06T10:00:00Z,2021-01-06T11:25:55Z,Niedersachsen,NI,15164,6499,1.89701571555673,3341,7376,3112,8940,NA,NA
2021-01-06T10:00:00Z,2021-01-06T11:25:55Z,Nordrhein-Westfalen,NW,69225,4160,3.8571431198178256,NA,28846,NA,40387,NA,NA
2021-01-06T10:00:00Z,2021-01-06T11:25:55Z,Rheinland-Pfalz,RP,12336,2445,3.0132614280309036,NA,7191,NA,5145,NA,NA
2021-01-06T10:00:00Z,2021-01-06T11:25:55Z,Saarland,SL,5633,797,5.707846997680585,4279,672,NA,2156,NA,NA
2021-01-06T10:00:00Z,2021-01-06T11:25:55Z,Sachsen,SN,10767,3027,2.6441740375852385,820,8945,1,1821,NA,NA
2021-01-06T10:00:00Z,2021-01-06T11:25:55Z,Sachsen-Anhalt,ST,17123,1495,7.801685998882805,5402,8196,738,8588,NA,NA
2021-01-06T10:00:00Z,2021-01-06T11:25:55Z,Schleswig-Holstein,SH,17016,3444,5.859962194014477,4092,8459,2932,6665,NA,NA
2021-01-06T10:00:00Z,2021-01-06T11:25:55Z,Thüringen,TH,3711,500,1.739494829327011,468,2856,7,500,NA,NA
2021-01-07T10:00:00Z,2021-01-07T11:26:32Z,Baden-Württemberg,BW,42899,4971,3.864637597548339,22030,12661,2303,7340,NA,08
2021-01-07T10:00:00Z,2021-01-07T11:26:32Z,Bayern,BY,84349,1600,6.426719255402984,19266,41737,1595,28908,NA,09
2021-01-07T10:00:00Z,2021-01-07T11:26:32Z,Berlin,BE,24159,2204,6.583746901136969,15037,8402,105,15272,NA,11
2021-01-07T10:00:00Z,2021-01-07T11:26:32Z,Brandenburg,BB,8182,2778,3.2443882432759836,436,7724,21,433,NA,12
2021-01-07T10:00:00Z,2021-01-07T11:26:32Z,Bremen,HB,3825,630,5.615074530021932,1018,1397,31,1182,NA,04
2021-01-07T10:00:00Z,2021-01-07T11:26:32Z,Hamburg,HH,7079,1178,3.832176751100147,2415,3561,86,2271,NA,02
2021-01-07T10:00:00Z,2021-01-07T11:26:32Z,Hessen,HE,44122,2824,7.016768234500833,11916,25931,1853,16780,NA,06
2021-01-07T10:00:00Z,2021-01-07T11:26:32Z,Mecklenburg-Vorpommern,MV,21713,2359,13.501950703235668,811,11746,46,9712,NA,13
2021-01-07T10:00:00Z,2021-01-07T11:26:32Z,Niedersachsen,NI,22608,7444,2.8282597795638713,5209,10900,4698,13321,NA,03
2021-01-07T10:00:00Z,2021-01-07T11:26:32Z,Nordrhein-Westfalen,NW,79578,8851,4.43400123060835,NA,33961,NA,45625,NA,05
2021-01-07T10:00:00Z,2021-01-07T11:26:32Z,Rheinland-Pfalz,RP,15984,3648,3.904342628538097,NA,9796,NA,6188,NA,07
2021-01-07T10:00:00Z,2021-01-07T11:26:32Z,Saarland,SL,6511,878,6.597513190466588,4940,813,NA,2430,NA,10
2021-01-07T10:00:00Z,2021-01-07T11:26:32Z,Sachsen,SN,13006,2239,3.194030605817183,858,11072,1,1933,NA,14
2021-01-07T10:00:00Z,2021-01-07T11:26:32Z,Sachsen-Anhalt,ST,17624,501,8.029954683426418,5569,8461,738,8818,NA,15
2021-01-07T10:00:00Z,2021-01-07T11:26:32Z,Schleswig-Holstein,SH,20078,3062,6.914452334944914,4842,9282,3234,7768,NA,01
2021-01-07T10:00:00Z,2021-01-07T11:26:32Z,Thüringen,TH,5343,1165,2.504478812474864,650,4096,21,583,NA,16
2021-01-08T10:00:00Z,2021-01-08T11:29:29Z,Baden-Württemberg,BW,49103,6180,4.423536678067463,25827,14560,2433,8088,NA,08
